縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
桃園市中壢區,105,10月,118,12,0,50,60,39,281,700,1
桃園市中壢區,105,11月,156,12,0,50,59,39,281,612,1
桃園市中壢區,105,12月,114,12,1,50,35,39,281,546,1
桃園市八德區,105,10月,54,6,0,16,13,13,278,285,1
桃園市八德區,105,11月,51,6,0,16,7,13,278,308,1
桃園市八德區,105,12月,57,6,0,16,4,13,278,278,1
桃園市大園區,105,10月,30,6,0,27,4,17,229,148,1
桃園市大園區,105,11月,16,6,0,27,6,17,229,139,0
桃園市大園區,105,12月,17,6,0,27,5,17,229,146,0
桃園市大溪區,105,10月,35,11,0,44,12,18,256,126,0
桃園市大溪區,105,11月,30,11,0,44,11,18,256,104,1
桃園市大溪區,105,12月,28,11,0,44,3,18,256,115,1
桃園市平鎮區,105,10月,89,6,0,19,17,23,247,214,1
桃園市平鎮區,105,11月,75,6,0,19,16,23,247,319,0
桃園市平鎮區,105,12月,49,6,0,19,12,23,247,273,0
桃園市新屋區,105,10月,11,4,0,14,4,16,234,56,0
桃園市新屋區,105,11月,9,4,0,14,6,16,234,52,0
桃園市新屋區,105,12月,6,4,0,14,2,16,234,43,0
桃園市桃園區,105,10月,139,10,0,54,36,40,277,586,1
桃園市桃園區,105,11月,133,10,0,54,29,40,277,547,1
桃園市桃園區,105,12月,123,10,0,54,23,40,277,575,1
桃園市楊梅區,105,10月,24,6,0,25,21,26,289,144,0
桃園市楊梅區,105,11月,22,6,0,25,16,26,289,156,0
桃園市楊梅區,105,12月,18,6,0,25,9,26,289,163,0
桃園市蘆竹區,105,10月,14,5,0,21,11,19,274,176,0
桃園市蘆竹區,105,11月,21,5,0,21,7,19,274,185,1
桃園市蘆竹區,105,12月,13,5,0,21,4,19,274,236,0
桃園市觀音區,105,10月,15,3,0,13,3,13,271,52,1
桃園市觀音區,105,11月,14,3,0,13,5,13,271,45,0
桃園市觀音區,105,12月,12,3,0,13,0,13,271,50,0
桃園市龍潭區,105,10月,26,7,0,27,15,20,253,145,0
桃園市龍潭區,105,11月,24,7,0,27,15,20,253,153,1
桃園市龍潭區,105,12月,27,7,0,27,10,20,253,183,0
桃園市龜山區,105,10月,50,8,0,30,18,26,272,238,1
桃園市龜山區,105,11月,64,8,0,30,9,26,272,284,1
桃園市龜山區,105,12月,36,8,1,30,14,26,272,288,1
高雄市三民區,105,10月,81,11,0,62,11,24,216,590,1
高雄市三民區,105,11月,96,11,1,62,19,24,216,664,1
高雄市三民區,105,12月,73,11,1,62,7,24,216,248,0
高雄市仁武區,105,10月,21,3,0,51,1,8,244,194,1
高雄市仁武區,105,11月,19,3,0,51,5,8,244,201,1
高雄市仁武區,105,12月,12,3,0,51,1,8,244,72,0
高雄市內門區,105,11月,1,3,0,37,2,8,146,8,0
高雄市六龜區,105,11月,4,5,0,81,0,8,339,2,0
高雄市六龜區,105,12月,2,5,0,81,1,8,339,2,0
高雄市前金區,105,10月,15,3,1,17,2,4,232,41,0
高雄市前金區,105,11月,6,3,1,17,1,4,232,53,0
高雄市前金區,105,12月,7,3,1,17,2,4,232,17,0
高雄市前鎮區,105,10月,33,6,0,45,8,22,218,352,1
高雄市前鎮區,105,11月,33,6,1,45,6,22,218,330,1
高雄市前鎮區,105,12月,22,6,0,45,5,22,218,146,1
高雄市大寮區,105,10月,24,4,0,91,9,16,256,216,0
高雄市大寮區,105,11月,40,4,0,91,1,16,256,249,0
高雄市大寮區,105,12月,20,4,0,91,2,16,256,71,0
高雄市大樹區,105,10月,8,3,0,72,2,12,174,52,1
高雄市大樹區,105,11月,12,3,0,72,0,12,174,56,1
高雄市大樹區,105,12月,11,3,0,72,0,12,174,25,0
高雄市大社區,105,10月,22,1,0,32,6,4,226,85,1
高雄市大社區,105,11月,14,1,0,32,3,4,226,83,0
高雄市大社區,105,12月,8,1,0,32,4,4,226,33,0
高雄市小港區,105,10月,15,6,0,39,4,20,252,196,1
高雄市小港區,105,11月,67,6,0,39,7,20,252,188,0
高雄市小港區,105,12月,23,6,0,39,5,20,252,47,0
高雄市岡山區,105,10月,25,4,0,68,10,13,258,166,0
高雄市岡山區,105,11月,17,4,0,68,1,13,258,179,0
高雄市岡山區,105,12月,29,4,0,68,2,13,258,52,1
高雄市左營區,105,10月,27,8,0,38,1,22,263,328,1
高雄市左營區,105,11月,38,8,0,38,6,22,263,343,0
高雄市左營區,105,12月,20,8,1,38,6,22,263,136,0
高雄市彌陀區,105,10月,5,2,0,40,0,4,218,13,0
高雄市彌陀區,105,11月,6,2,0,40,0,4,218,15,0
高雄市彌陀區,105,12月,3,2,0,40,0,4,218,5,0
高雄市新興區,105,10月,20,4,0,22,1,6,201,102,1
高雄市新興區,105,11月,52,4,0,22,1,6,201,108,1
高雄市新興區,105,12月,36,4,0,22,1,6,201,54,0
高雄市旗山區,105,10月,6,7,0,90,4,11,214,49,0
高雄市旗山區,105,11月,5,7,0,90,1,11,214,65,0
高雄市旗山區,105,12月,3,7,0,90,0,11,214,22,0
高雄市旗津區,105,10月,9,2,0,25,2,4,238,20,1
高雄市旗津區,105,11月,15,2,0,25,1,4,238,23,0
高雄市旗津區,105,12月,7,2,0,25,0,4,238,7,0
高雄市杉林區,105,10月,3,2,0,52,0,7,249,2,1
高雄市杉林區,105,11月,3,2,0,52,1,7,249,2,0
高雄市杉林區,105,12月,11,2,0,52,1,7,249,2,0
高雄市林園區,105,10月,19,4,0,72,4,8,219,73,0
高雄市林園區,105,11月,45,4,0,72,3,8,219,71,0
高雄市林園區,105,12月,28,4,0,72,2,8,219,23,0
